"","None","BBC","RMT"
"1",1,0.533,0.056
"2",1,0.651,0.113
"3",1,0.815,0.212
"4",1,0.924,0.371
"5",1,0.968,0.601
"6",1,0.998,0.837
"7",1,1,0.961
